Prompt,EA-bart-base,EA-t5-base
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person being abused.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by 
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when eating out
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I saw a dead frog in the street
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw the video of the man beating his wife to death
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when I saw my friend being racially abusive to another
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my partner being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt a lot of... when I saw someone else's work being done.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed in my resignation at work and my employers were not,I felt a lot of... when I saw my friend being abused.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when i saw my friend being racially abusive to
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I read about the death of my father
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt too much... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw my friend die
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very alone and exhausted in her bedroom while caring for her in the night. And feeling,I felt ... when I walked out the door to pick up my child from school
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I read about the death of a loved one.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I received a message to let me know that one of my,I felt ... when I read about a family member who had recently passed away.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I ate a lot of food
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door without washing my hands.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked home from work and saw a homeless person who needed help.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked out the door to pick up my child from school
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt sick when I was younger and I lied to my parents because I had knowledge of,I felt ... when I walked out on the street without looking and I felt like I was being
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a child was born,When a friend of mine told me he loved me for the first time
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist came back from overseas and surprised me.,When a friend of mine came to visit me at work and told me he loved me for the first
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me she was moving 2 hours away.,When a friend of mine came to visit me at work and told me she loved me.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,"When a child was born I was so..., special little blessings",When a friend of mine told me he was coming to visit because it was a new experience for
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me she was flying home after a two week absence from one another,When a friend of mine came to visit me at work and told me he loved me.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a guy named George Floyd was rumoured to have been killed in America.,When a friend told me a friend was coming to visit because I don't really care about them
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a guy talked to me.,When a friend told me a friend was coming to visit because I don't really care for them
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a man named George Floyd was rumoured to have been killed in America.,When a friend asked me a question because I didn't really care what the answer was.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend told me a friend was coming to visit because I knew that person would be upset 
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist hurtling past me while I was walking near the highway.,When a friend told me a friend was coming to visit because I don't really care about him
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend got in trouble for something I did,When a friend of mine cheated on me
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was rude to me for no reason last week.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend got cheated on,When a friend of mine cheated on me because I knew I wouldn’t get a job
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague was disrespectful about my miscarriage,When a friend of mine cheated on me because I knew I wouldn't get a job
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend made a snide comment about my girlfriend,When a friend of mine cheated on me for no reason last week.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a robbery in a jewellery shop,When a man walked into my house and threw a brick at me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a potential drunk driver nearly crashed into us coming from the other direction,When a man walked into my house and threw a stick at me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a man walked into my house and threw a ball
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a man got sick on the pavement right in front of me,When a man walked into my house and started to shout at me and my friends.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague was threatening me because I paused to take a photo of the lake,When a man walked into my house and smelt a foul smell
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a man called another a racial slur on the bus,When a friend of mine cheated on me
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a man threw up on me in a pub
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was eating a food a certain way.,When a friend of mine was rude to me for no reason last week.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,"When a friend expressed unpredictable, stupid racist views.",When a friend of mine was claiming benefits they weren't entitled to.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist was sick and threw up on him on the floor,When a friend of mine threw up on me in a restaurant
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a cyclist came hurtling out of a junction without looking and I nearly hit them as,When a colleague was being racist at work
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was rude to me for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was spreading rumours about my relationship and attempting to destroy it. I found out one,When a friend of mine cheated on me
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a colleague was being racist at football
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a random girl hit me in a club,When a friend of mine was being racist at football
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine had a bad relationship
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was leaving to work elsewhere.,When a friend of mine left for another country
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work quit,When a friend of mine told me he was leaving for college because I felt alone and like I didn
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a job opportunity has not emailed back,When a friend of mine told me he was leaving to work elsewhere.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a girl I was dating left me for someone else,When a friend of mine had an argument with me about something I had never done before.
